Combination,Overlap,Length of Overlap
"(3, 5, 6, 7, 8, 9)","[8, 3, 5, 6]",4
"(3, 5, 6, 7, 8, 10)","[3, 5, 6, 8, 10]",5
"(3, 5, 6, 7, 8, 11)","[8, 3, 5, 6]",4
"(3, 5, 6, 7, 9, 10)","[10, 3, 5, 6]",4
"(3, 5, 6, 7, 9, 11)","[3, 5, 6]",3
"(3, 5, 6, 7, 10, 11)","[10, 3, 5, 6]",4
"(3, 5, 6, 8, 9, 10)","[3, 5, 6, 8, 10]",5
"(3, 5, 6, 8, 9, 11)","[8, 3, 5, 6]",4
"(3, 5, 6, 8, 10, 11)","[3, 5, 6, 8, 10]",5
"(3, 5, 6, 9, 10, 11)","[10, 3, 5, 6]",4
"(3, 5, 7, 8, 9, 10)","[8, 10, 3, 5]",4
"(3, 5, 7, 8, 9, 11)","[8, 3, 5]",3
"(3, 5, 7, 8, 10, 11)","[8, 10, 3, 5]",4
"(3, 5, 7, 9, 10, 11)","[10, 3, 5]",3
"(3, 5, 8, 9, 10, 11)","[8, 10, 3, 5]",4
"(3, 6, 7, 8, 9, 10)","[8, 10, 3, 6]",4
"(3, 6, 7, 8, 9, 11)","[8, 3, 6]",3
"(3, 6, 7, 8, 10, 11)","[8, 10, 3, 6]",4
"(3, 6, 7, 9, 10, 11)","[10, 3, 6]",3
"(3, 6, 8, 9, 10, 11)","[8, 10, 3, 6]",4
"(3, 7, 8, 9, 10, 11)","[8, 10, 3]",3
"(4, 5, 6, 7, 8, 9)","[8, 5, 6]",3
"(4, 5, 6, 7, 8, 10)","[8, 10, 5, 6]",4
"(4, 5, 6, 7, 8, 11)","[8, 5, 6]",3
"(4, 5, 6, 7, 9, 10)","[10, 5, 6]",3
"(4, 5, 6, 7, 9, 11)","[5, 6]",2
"(4, 5, 6, 7, 10, 11)","[10, 5, 6]",3
"(4, 5, 6, 8, 9, 10)","[8, 10, 5, 6]",4
"(4, 5, 6, 8, 9, 11)","[8, 5, 6]",3
"(4, 5, 6, 8, 10, 11)","[8, 10, 5, 6]",4
"(4, 5, 6, 9, 10, 11)","[10, 5, 6]",3
"(4, 5, 7, 8, 9, 10)","[8, 10, 5]",3
"(4, 5, 7, 8, 9, 11)","[8, 5]",2
"(4, 5, 7, 8, 10, 11)","[8, 10, 5]",3
"(4, 5, 7, 9, 10, 11)","[10, 5]",2
"(4, 5, 8, 9, 10, 11)","[8, 10, 5]",3
"(4, 6, 7, 8, 9, 10)","[8, 10, 6]",3
"(4, 6, 7, 8, 9, 11)","[8, 6]",2
"(4, 6, 7, 8, 10, 11)","[8, 10, 6]",3
"(4, 6, 7, 9, 10, 11)","[10, 6]",2
"(4, 6, 8, 9, 10, 11)","[8, 10, 6]",3
"(4, 7, 8, 9, 10, 11)","[8, 10]",2
"(5, 6, 7, 8, 9, 10)","[8, 10, 5, 6]",4
"(5, 6, 7, 8, 9, 11)","[8, 5, 6]",3
"(5, 6, 7, 8, 10, 11)","[8, 10, 5, 6]",4
"(5, 6, 7, 9, 10, 11)","[10, 5, 6]",3
"(5, 6, 8, 9, 10, 11)","[8, 10, 5, 6]",4
"(5, 7, 8, 9, 10, 11)","[8, 10, 5]",3
"(6, 7, 8, 9, 10, 11)","[8, 10, 6]",3
